ADM2_EN,canopy_dist_Mean_Canopy_Height,co_dist_Mean_CO,LST_dist_Mean_LST_C,Rain_dist_Mean_Rainfall_mm,Soil_ph_Mean_pH_0to30cm,wind_dist_Mean_WindSpeed,District_Mean_NO2_2019_2024_Mean_NO2,treeloss_treecover_Mean_TreeCover2000,treeloss_treecover_Forest_Loss_km2,District_Mean_NDVI_2020_2025_Mean_NDVI,District_Mean_SI_2020_2025_Mean_SI
Colombo,3.778000,0.033000,30.160000,17484.467000,5.534000,3.039000,0.000063,38.308000,39.153000,0.587048,-0.121723
Gampaha,4.335000,0.033000,29.560000,14137.407000,5.530000,3.339000,0.000057,52.382000,45.695000,0.633480,-0.176827
Kalutara,5.832000,0.032000,28.571000,19673.910000,5.331000,2.497000,0.000049,64.519000,108.253000,0.746852,-0.243391
Kandy,6.829000,0.029000,26.054000,12704.439000,5.221000,2.103000,0.000047,70.110000,41.740000,0.740369,-0.238646
Matale,8.161000,0.031000,27.187000,10909.165000,5.384000,3.173000,0.000047,64.830000,88.890000,0.717363,-0.220793
Nuwara Eliya,5.803000,0.027000,24.000000,13744.697000,5.206000,1.369000,0.000046,67.789000,69.323000,0.746722,-0.238774
Galle,5.155000,0.031000,28.398000,18483.209000,5.254000,2.799000,0.000046,67.251000,67.311000,0.755151,-0.256077
Matara,6.306000,0.031000,28.196000,15852.104000,5.294000,2.471000,0.000045,69.465000,41.357000,0.760985,-0.260419
Hambantota,3.678000,0.031000,28.610000,8324.190000,5.821000,3.106000,0.000045,34.431000,104.372000,0.648444,-0.185673
Jaffna,1.115000,0.034000,30.086000,6785.774000,6.366000,5.959000,0.000046,2.260000,7.317000,0.401322,-0.062339
Mannar,5.530000,0.033000,28.987000,6984.747000,5.977000,5.582000,0.000044,54.193000,55.446000,0.627624,-0.175824
Vavuniya,6.532000,0.032000,28.494000,8509.766000,5.667000,3.636000,0.000045,57.510000,179.702000,0.668056,-0.178532
Mullaitivu,6.397000,0.033000,28.678000,8204.735000,5.799000,4.220000,0.000044,55.747000,142.535000,0.631034,-0.180445
Kilinochchi,2.003000,0.034000,29.855000,6498.983000,6.222000,5.002000,0.000045,22.525000,29.292000,0.457939,-0.071592
Batticaloa,1.617000,0.033000,30.343000,8238.273000,5.773000,2.519000,0.000045,14.260000,42.588000,0.532575,-0.046503
Ampara,4.864000,0.032000,29.028000,9174.177000,5.668000,1.961000,0.000045,36.859000,112.948000,0.618636,-0.150124
Trincomalee,4.926000,0.033000,28.863000,8694.310000,5.809000,3.429000,0.000044,42.812000,97.729000,0.590229,-0.147835
Kurunegala,4.225000,0.032000,29.001000,9769.203000,5.591000,3.374000,0.000047,45.023000,286.459000,0.655282,-0.175333
Puttalam,4.160000,0.033000,28.677000,7602.475000,5.706000,5.061000,0.000046,41.825000,127.073000,0.641271,-0.183763
Anuradhapura,4.494000,0.032000,28.164000,7947.509000,5.674000,3.658000,0.000045,40.908000,433.647000,0.638578,-0.156866
Polonnaruwa,4.509000,0.032000,28.451000,9982.978000,5.676000,3.133000,0.000046,41.663000,72.310000,0.644266,-0.179313
Badulla,5.521000,0.029000,26.701000,11423.067000,5.577000,1.550000,0.000045,52.418000,86.413000,0.713356,-0.207310
Monaragala,7.169000,0.031000,28.394000,9576.790000,5.697000,1.733000,0.000045,48.469000,215.512000,0.711432,-0.195169
Ratnapura,7.720000,0.030000,27.199000,15865.987000,5.272000,1.397000,0.000046,68.998000,103.654000,0.772591,-0.261298
Kegalle,8.717000,0.031000,27.784000,15612.400000,5.174000,1.975000,0.000050,80.275000,115.014000,0.779211,-0.261017
